Province,Area,Bedrooms,Bathrooms,Floors,HouseType,Price
Quảng Ninh,34.5,2,3,3,Đất nền,5.826
Đồng Nai,66.0,5,5,3,Nhà trọ,6.773
Quảng Ninh,157.4,3,2,2,Chung cư,10.827
Khánh Hòa,55.7,2,2,2,Đất nền,7.695
Hà Nội,111.2,2,2,2,Biệt thự,47.72
Khánh Hòa,159.3,3,4,1,Nhà trọ,15.144
Khánh Hòa,20.0,3,4,1,Đất nền,7.443
Đà Nẵng,84.4,2,3,2,Nhà trọ,7.357
Hà Nội,86.4,5,5,5,Nhà trọ,14.151
Khánh Hòa,70.3,3,3,1,Nhà trọ,7.355
Đà Nẵng,107.9,2,1,1,Biệt thự,36.382
Đà Nẵng,133.6,4,4,3,Đất nền,19.434
Hà Nội,98.0,1,1,1,Nhà phố,25.593
Cần Thơ,71.9,4,5,3,Nhà phố,13.853
Bà Rịa-VT,131.6,5,5,3,Biệt thự,32.929
Đồng Nai,92.7,3,4,4,Biệt thự,30.564
Bà Rịa-VT,78.4,4,3,2,Nhà trọ,5.397
Quảng Ninh,41.0,2,2,3,Đất nền,5.738
Đồng Nai,35.2,5,5,2,Đất nền,9.549
Quảng Ninh,40.5,3,3,3,Chung cư,7.167
Khánh Hòa,106.4,3,3,2,Chung cư,15.756
TP.HCM,85.8,4,5,1,Nhà phố,41.216
Hà Nội,37.0,5,4,2,Chung cư,10.67
Đồng Nai,132.6,4,4,2,Chung cư,12.95
Đồng Nai,205.3,2,3,3,Nhà phố,33.135
Khánh Hòa,62.9,5,5,3,Nhà phố,24.591
Cần Thơ,31.7,3,3,3,Chung cư,4.463
Đà Nẵng,58.8,5,5,1,Đất nền,10.358
Khánh Hòa,150.3,3,3,3,Chung cư,21.13
Bình Dương,125.1,2,2,2,Nhà trọ,7.54
Đà Nẵng,51.8,2,1,4,Nhà trọ,6.02
Hà Nội,224.2,3,2,4,Nhà trọ,26.428
Đà Nẵng,202.1,4,5,1,Biệt thự,62.048
Cần Thơ,58.0,2,1,3,Nhà trọ,3.348
Đà Nẵng,57.6,3,2,1,Đất nền,6.614
Hà Nội,63.1,2,1,2,Biệt thự,39.557
Cần Thơ,66.4,4,4,2,Biệt thự,22.774
Bà Rịa-VT,159.2,3,3,1,Nhà trọ,7.093
Đồng Nai,116.2,1,2,3,Chung cư,14.466
Đồng Nai,152.4,2,3,1,Nhà phố,22.992
Quảng Ninh,134.8,1,2,1,Chung cư,12.258
Bà Rịa-VT,251.8,3,3,2,Chung cư,24.021
Bà Rịa-VT,47.7,2,1,3,Biệt thự,10.652
Đà Nẵng,113.1,2,1,4,Biệt thự,32.93
Đồng Nai,24.4,5,5,3,Biệt thự,17.096
Hà Nội,40.8,4,5,3,Đất nền,11.89
Hải Phòng,86.1,3,4,2,Đất nền,11.529
Hải Phòng,115.7,5,5,1,Nhà phố,31.87
Cần Thơ,84.7,1,1,1,Biệt thự,15.121
Đồng Nai,64.1,3,4,2,Nhà trọ,3.729
Đồng Nai,71.3,3,4,3,Biệt thự,15.313
Hải Phòng,204.7,3,3,2,Đất nền,18.687
Đồng Nai,71.5,2,1,3,Biệt thự,16.901
Đà Nẵng,257.1,3,3,2,Đất nền,30.556
Bình Dương,145.0,3,3,1,Biệt thự,40.202
TP.HCM,118.5,3,3,1,Nhà trọ,10.991
Bà Rịa-VT,44.0,2,2,3,Nhà phố,5.61
Quảng Ninh,157.8,2,1,3,Nhà trọ,9.211
Cần Thơ,66.9,2,3,4,Đất nền,7.615
Bình Dương,44.0,2,2,1,Chung cư,6.088
Hải Phòng,122.5,3,2,5,Nhà trọ,5.867
Bà Rịa-VT,39.1,2,3,1,Biệt thự,12.356
Đồng Nai,57.0,4,5,1,Nhà phố,17.432
Quảng Ninh,89.5,2,3,5,Biệt thự,25.805
Đồng Nai,340.7,2,2,1,Biệt thự,61.402
Hà Nội,59.6,3,3,3,Nhà trọ,8.706
Hà Nội,68.4,1,2,1,Nhà phố,14.78
Quảng Ninh,139.7,3,4,2,Chung cư,18.984
Quảng Ninh,42.8,3,4,4,Biệt thự,17.154
Hải Phòng,117.4,2,3,2,Nhà phố,13.455
Quảng Ninh,185.6,1,2,3,Chung cư,16.794
Đà Nẵng,74.9,2,3,1,Biệt thự,27.94
Đồng Nai,166.6,1,1,3,Nhà phố,22.575
Bình Dương,107.2,2,3,2,Nhà trọ,7.142
Khánh Hòa,58.1,2,2,1,Biệt thự,17.768
Quảng Ninh,79.9,2,2,2,Biệt thự,22.544
Cần Thơ,71.7,3,3,1,Nhà phố,10.757
Hà Nội,85.4,3,4,4,Biệt thự,29.88
Đà Nẵng,98.7,3,3,2,Chung cư,14.065
Bà Rịa-VT,128.1,2,1,1,Biệt thự,30.432
Khánh Hòa,122.1,2,3,2,Đất nền,15.771
Bình Dương,20.9,4,4,2,Chung cư,9.38
Khánh Hòa,84.9,3,2,3,Nhà phố,23.779
Quảng Ninh,36.4,4,3,5,Chung cư,7.996
Hải Phòng,76.3,2,2,2,Đất nền,7.976
Hà Nội,83.6,3,2,4,Đất nền,16.789
Hà Nội,161.7,3,3,2,Biệt thự,65.641
Bà Rịa-VT,88.4,2,1,1,Biệt thự,17.188
Hải Phòng,105.2,3,4,3,Nhà trọ,8.238
Đồng Nai,144.9,3,4,2,Chung cư,13.798
TP.HCM,188.0,2,3,3,Nhà trọ,17.825
Đà Nẵng,83.6,2,3,4,Đất nền,9.555
Hà Nội,95.3,4,5,2,Biệt thự,76.536
Cần Thơ,90.6,4,4,4,Biệt thự,28.532
Hà Nội,65.0,2,3,3,Biệt thự,36.455
Khánh Hòa,56.7,2,3,2,Nhà phố,12.778
Hà Nội,23.0,2,3,3,Đất nền,8.886
Hà Nội,47.2,3,4,2,Biệt thự,29.81
TP.HCM,31.0,2,1,5,Đất nền,10.348
TP.HCM,191.2,5,5,3,Biệt thự,82.31
Bình Dương,100.8,2,3,1,Chung cư,13.063
Đồng Nai,83.5,2,2,2,Đất nền,8.046
Cần Thơ,58.5,3,2,3,Nhà trọ,3.611
Hà Nội,91.6,4,4,1,Nhà phố,35.475
Hà Nội,54.1,3,4,1,Nhà trọ,5.862
Đà Nẵng,99.9,3,3,2,Đất nền,15.218
TP.HCM,104.3,5,5,2,Biệt thự,73.535
Cần Thơ,53.7,1,2,2,Đất nền,4.45
Bà Rịa-VT,53.1,4,3,1,Nhà phố,8.635
Bình Dương,160.3,2,1,1,Đất nền,15.094
Đồng Nai,87.2,4,4,3,Biệt thự,28.822
Hải Phòng,56.3,3,4,2,Nhà trọ,4.672
Đồng Nai,72.1,2,2,1,Chung cư,9.332
Khánh Hòa,49.1,4,4,2,Nhà trọ,9.47
Hà Nội,86.5,1,1,2,Biệt thự,32.399
Bình Dương,148.3,2,3,1,Biệt thự,27.361
Khánh Hòa,88.5,3,4,1,Nhà phố,26.951
Cần Thơ,371.7,2,1,1,Đất nền,39.394
Hải Phòng,115.9,3,4,3,Đất nền,13.752
TP.HCM,103.3,1,1,3,Nhà trọ,9.842
Bình Dương,52.2,2,2,3,Chung cư,7.842
Bình Dương,78.0,2,1,3,Chung cư,8.154
Hà Nội,56.4,2,3,3,Nhà phố,23.131
Quảng Ninh,24.5,3,3,2,Biệt thự,8.78
Bình Dương,161.5,4,3,3,Nhà phố,27.81
Đà Nẵng,66.2,4,3,1,Đất nền,8.608
Hải Phòng,57.0,4,4,3,Biệt thự,21.753
Hải Phòng,102.1,2,2,3,Nhà phố,15.844
Đà Nẵng,122.4,3,4,2,Nhà trọ,10.517
Bà Rịa-VT,74.3,2,1,2,Đất nền,6.575
Đà Nẵng,89.9,2,2,1,Chung cư,10.425
Đà Nẵng,140.9,3,2,3,Nhà phố,32.393
Hải Phòng,72.5,1,2,3,Đất nền,7.568
Đồng Nai,107.9,2,2,4,Đất nền,9.186
Hải Phòng,33.3,5,5,2,Chung cư,12.576
Quảng Ninh,42.7,3,2,3,Chung cư,7.312
Hà Nội,129.5,3,4,2,Chung cư,25.883
Khánh Hòa,41.4,1,2,4,Nhà phố,16.286
Đồng Nai,103.6,2,1,2,Chung cư,16.338
TP.HCM,82.4,4,5,2,Nhà trọ,12.862
Khánh Hòa,72.3,2,1,2,Đất nền,11.326
Hà Nội,54.8,3,3,3,Chung cư,12.119
Quảng Ninh,155.3,1,1,5,Đất nền,13.308
Quảng Ninh,254.2,3,2,1,Biệt thự,51.699
TP.HCM,107.8,1,1,1,Biệt thự,50.132
Đồng Nai,109.2,4,3,4,Chung cư,15.125
Bà Rịa-VT,59.8,4,4,2,Đất nền,8.045
Đà Nẵng,43.9,4,4,3,Biệt thự,24.36
Đồng Nai,87.9,2,1,2,Chung cư,7.764
Bà Rịa-VT,50.2,4,5,1,Đất nền,5.478
Quảng Ninh,31.1,3,4,3,Chung cư,5.678
Hải Phòng,145.8,2,2,3,Đất nền,13.215
Hà Nội,150.1,3,4,2,Biệt thự,82.095
TP.HCM,53.8,1,2,2,Chung cư,10.523
Hà Nội,104.2,2,1,3,Biệt thự,42.103
Cần Thơ,164.2,3,3,1,Chung cư,19.329
Cần Thơ,101.8,2,2,4,Nhà phố,14.743
Đồng Nai,44.0,3,2,1,Biệt thự,16.007
Quảng Ninh,78.3,2,3,2,Biệt thự,20.007
Quảng Ninh,199.6,4,4,4,Nhà trọ,12.579
Đà Nẵng,104.4,5,5,3,Biệt thự,39.025
Đà Nẵng,124.4,4,4,2,Đất nền,19.472
Đà Nẵng,110.5,2,2,3,Chung cư,11.522
Hải Phòng,53.9,2,2,2,Nhà phố,9.656
Khánh Hòa,62.0,3,3,1,Đất nền,11.293
Bình Dương,110.3,1,2,5,Đất nền,13.64
Khánh Hòa,147.0,1,2,3,Đất nền,25.658
Hà Nội,174.2,3,4,3,Đất nền,28.115
Khánh Hòa,53.8,3,4,2,Nhà phố,22.948
Hải Phòng,116.7,5,4,1,Nhà trọ,7.263
Hà Nội,183.5,2,2,1,Biệt thự,94.275
Khánh Hòa,49.8,2,2,2,Đất nền,9.996
Hải Phòng,219.7,2,2,3,Biệt thự,41.427
Bình Dương,240.7,4,3,2,Biệt thự,66.122
Khánh Hòa,434.9,4,5,3,Đất nền,54.085
Hải Phòng,103.4,4,4,1,Nhà trọ,8.295
Đà Nẵng,103.7,4,5,2,Biệt thự,36.756
Quảng Ninh,147.8,3,4,1,Chung cư,14.863
Đà Nẵng,145.3,3,2,2,Biệt thự,58.281
Quảng Ninh,176.9,2,1,1,Đất nền,14.6
TP.HCM,144.1,3,4,5,Nhà phố,59.226
TP.HCM,84.5,3,3,1,Biệt thự,44.916
TP.HCM,187.4,3,3,4,Nhà trọ,32.014
Bình Dương,47.3,5,4,2,Chung cư,8.587
Đà Nẵng,90.3,5,4,5,Chung cư,15.057
Quảng Ninh,230.0,4,3,2,Nhà phố,45.574
Hải Phòng,42.5,4,3,4,Nhà phố,10.765
Hà Nội,60.0,3,2,1,Biệt thự,42.883
Hải Phòng,134.7,2,1,3,Đất nền,15.271
Hà Nội,114.0,1,1,4,Nhà trọ,11.539
Cần Thơ,53.2,3,3,1,Chung cư,4.861
Hải Phòng,70.1,3,2,1,Nhà phố,12.837
Khánh Hòa,44.3,1,1,2,Nhà trọ,4.309
Khánh Hòa,162.1,4,4,4,Đất nền,30.286
Đồng Nai,77.2,1,1,2,Chung cư,11.525
Đà Nẵng,263.8,2,3,2,Chung cư,28.824
Hà Nội,94.5,3,2,1,Đất nền,20.296
Hà Nội,78.9,2,1,1,Chung cư,17.97
Đà Nẵng,74.4,1,1,3,Đất nền,11.581
Bình Dương,77.7,2,1,1,Chung cư,10.583
Đồng Nai,96.2,4,5,3,Biệt thự,20.235
Bình Dương,406.4,3,3,4,Đất nền,38.255
Bình Dương,73.5,3,3,1,Nhà trọ,4.647
Bình Dương,74.9,3,2,3,Biệt thự,23.218
Đà Nẵng,93.6,1,1,1,Nhà trọ,8.107
Bình Dương,173.2,5,4,3,Chung cư,24.008
Khánh Hòa,38.4,1,2,1,Nhà trọ,4.877
TP.HCM,118.3,5,5,3,Biệt thự,75.928
Cần Thơ,55.1,3,3,2,Đất nền,5.06
Hà Nội,125.5,5,4,2,Nhà phố,24.385
Hà Nội,66.9,2,1,2,Nhà trọ,8.017
Cần Thơ,22.6,3,2,1,Nhà phố,5.783
Đà Nẵng,112.4,2,1,3,Nhà trọ,7.062
Hải Phòng,111.8,1,2,2,Nhà trọ,4.69
Đà Nẵng,63.6,3,3,3,Đất nền,8.858
Hà Nội,61.4,2,2,1,Chung cư,12.782
Hà Nội,41.0,3,4,3,Biệt thự,33.582
Cần Thơ,143.1,2,1,1,Biệt thự,30.308
Bình Dương,152.8,2,2,2,Biệt thự,54.267
Đà Nẵng,53.1,4,4,1,Chung cư,8.791
Quảng Ninh,65.1,3,4,3,Nhà phố,15.924
Cần Thơ,86.7,3,2,1,Biệt thự,21.017
Khánh Hòa,351.6,3,3,4,Nhà phố,82.314
Hà Nội,124.8,4,3,4,Chung cư,24.947
Cần Thơ,51.1,2,2,1,Chung cư,7.438
Đà Nẵng,108.0,3,4,3,Đất nền,16.02
Hà Nội,39.4,5,4,1,Biệt thự,27.011
Hải Phòng,138.5,3,4,2,Đất nền,14.245
Cần Thơ,246.0,3,3,3,Biệt thự,48.9
Đồng Nai,246.6,3,4,3,Chung cư,28.746
Hà Nội,139.9,3,4,3,Chung cư,22.752
Đà Nẵng,63.4,3,4,1,Nhà trọ,6.24
TP.HCM,41.2,1,1,2,Nhà trọ,6.195
Quảng Ninh,38.9,2,1,1,Chung cư,4.98
Bà Rịa-VT,20.0,4,5,3,Chung cư,7.311
Bình Dương,136.5,2,1,2,Nhà phố,26.46
Bà Rịa-VT,84.6,3,3,3,Nhà phố,13.641
Đà Nẵng,155.3,2,1,1,Đất nền,18.205
Khánh Hòa,212.0,3,4,2,Nhà trọ,18.718
Khánh Hòa,95.6,1,2,2,Nhà trọ,8.77
TP.HCM,98.3,2,3,1,Chung cư,15.649
Bình Dương,68.1,5,5,2,Chung cư,11.57
Đồng Nai,73.1,4,5,3,Đất nền,7.499
TP.HCM,139.4,3,4,4,Nhà trọ,23.936
Bà Rịa-VT,81.1,3,3,2,Nhà phố,12.78
TP.HCM,74.3,3,3,2,Biệt thự,42.46
Bà Rịa-VT,89.0,3,3,1,Đất nền,9.928
Hà Nội,153.2,3,2,4,Biệt thự,72.821
Khánh Hòa,59.4,1,1,1,Nhà phố,10.515
Hà Nội,86.5,3,3,4,Nhà phố,28.821
Quảng Ninh,104.3,4,3,2,Biệt thự,25.993
Bình Dương,180.6,5,4,2,Đất nền,14.438
Đồng Nai,78.0,1,2,4,Biệt thự,18.114
Bà Rịa-VT,58.5,3,4,1,Đất nền,6.261
Đồng Nai,67.3,3,2,2,Đất nền,7.765
Bà Rịa-VT,169.3,3,2,2,Chung cư,11.45
Đà Nẵng,304.9,2,2,1,Nhà trọ,25.802
TP.HCM,40.9,3,2,2,Nhà trọ,7.145
Quảng Ninh,46.7,2,3,3,Nhà phố,9.912
Khánh Hòa,81.3,2,1,3,Chung cư,14.518
Bà Rịa-VT,96.2,3,3,1,Nhà trọ,4.691
Đồng Nai,144.3,3,4,4,Đất nền,16.683
Quảng Ninh,52.7,3,4,1,Đất nền,6.337
Hải Phòng,47.6,5,5,1,Biệt thự,16.812
Hải Phòng,97.8,2,3,1,Biệt thự,27.992
Hà Nội,77.1,2,1,1,Đất nền,18.129
Khánh Hòa,157.0,3,3,1,Đất nền,24.595
Đà Nẵng,120.6,2,1,5,Biệt thự,45.581
Đồng Nai,125.6,2,1,2,Nhà trọ,6.651
TP.HCM,84.5,2,3,1,Nhà phố,21.07
TP.HCM,369.9,1,1,1,Biệt thự,200.0
Đồng Nai,54.5,4,5,3,Nhà trọ,8.103
Bình Dương,129.9,2,1,4,Nhà trọ,11.821
Đà Nẵng,42.0,3,2,1,Nhà trọ,4.151
Quảng Ninh,47.3,1,2,1,Chung cư,4.362
Bà Rịa-VT,62.5,3,2,1,Chung cư,5.658
Bình Dương,239.3,2,1,1,Nhà trọ,10.144
Bà Rịa-VT,105.5,3,4,1,Đất nền,9.481
Bà Rịa-VT,63.2,3,2,2,Chung cư,10.037
Bình Dương,112.7,2,2,1,Biệt thự,29.018
Hà Nội,91.9,3,4,2,Chung cư,22.075
Hải Phòng,67.0,2,2,1,Đất nền,9.481
Bà Rịa-VT,38.9,3,2,4,Nhà phố,7.842
Bình Dương,213.4,2,1,4,Chung cư,35.905
Bình Dương,102.1,4,5,2,Nhà trọ,12.46
Cần Thơ,331.7,1,1,2,Nhà trọ,15.242
Hà Nội,158.3,3,4,2,Nhà trọ,15.455
Khánh Hòa,125.3,2,3,2,Nhà phố,32.496
Cần Thơ,69.3,2,3,3,Đất nền,6.873
Cần Thơ,46.7,3,4,2,Biệt thự,12.377
Đồng Nai,79.0,4,5,4,Đất nền,13.954
Hải Phòng,45.9,2,2,4,Nhà phố,12.908
Bình Dương,133.0,1,2,2,Nhà trọ,8.679
Hải Phòng,239.7,2,2,2,Đất nền,16.515
Đà Nẵng,77.0,2,1,1,Biệt thự,18.763
Đồng Nai,158.6,2,3,1,Nhà trọ,9.484
Khánh Hòa,59.5,3,2,2,Biệt thự,23.19
Hải Phòng,75.1,1,2,1,Chung cư,7.74
TP.HCM,55.2,1,1,4,Biệt thự,37.885
Bà Rịa-VT,25.0,3,3,1,Nhà trọ,2.856
Đà Nẵng,88.1,2,2,2,Chung cư,16.905
Hà Nội,97.2,2,1,3,Nhà trọ,8.773
Khánh Hòa,170.6,2,3,3,Nhà trọ,13.309
Đà Nẵng,145.1,3,2,2,Chung cư,23.187
Bà Rịa-VT,146.3,2,2,4,Biệt thự,33.145
Đồng Nai,50.2,3,2,2,Nhà phố,14.514
Bà Rịa-VT,118.6,2,2,2,Nhà phố,17.379
Cần Thơ,232.7,3,3,1,Nhà phố,44.981
Bà Rịa-VT,113.1,2,2,2,Nhà phố,17.119
Cần Thơ,269.7,3,4,3,Đất nền,27.839
Đồng Nai,302.3,4,5,3,Nhà phố,43.294
Quảng Ninh,76.6,3,3,3,Chung cư,9.914
Cần Thơ,59.3,2,1,2,Nhà phố,11.407
Hà Nội,57.0,2,1,1,Nhà trọ,9.182
Bà Rịa-VT,36.2,2,3,1,Nhà phố,8.086
Bà Rịa-VT,66.0,2,2,2,Biệt thự,15.374
Hà Nội,185.8,2,1,3,Chung cư,43.728
TP.HCM,24.0,4,4,3,Chung cư,8.475
Bình Dương,48.3,2,1,1,Đất nền,4.457
Quảng Ninh,83.4,3,4,2,Nhà trọ,6.718
Khánh Hòa,53.2,3,3,2,Chung cư,11.268
Cần Thơ,65.6,3,3,2,Biệt thự,20.643
Hà Nội,66.2,1,1,1,Nhà phố,18.25
Đồng Nai,77.1,4,3,1,Chung cư,11.716
Cần Thơ,58.1,2,1,1,Biệt thự,11.793
Bình Dương,55.3,3,3,1,Nhà phố,14.157
Đồng Nai,157.7,4,5,1,Đất nền,19.978
Đà Nẵng,169.0,3,4,1,Chung cư,29.58
Bà Rịa-VT,39.3,3,2,3,Chung cư,8.504
Đà Nẵng,20.0,1,2,2,Biệt thự,10.5
Cần Thơ,170.4,2,1,5,Nhà trọ,9.572
Bình Dương,43.1,3,4,1,Đất nền,5.195
Quảng Ninh,102.3,2,2,2,Nhà trọ,5.479
Cần Thơ,35.2,4,3,2,Chung cư,6.015
Hà Nội,196.1,2,3,1,Nhà trọ,24.085
Hải Phòng,414.1,2,2,3,Nhà phố,50.981
Cần Thơ,100.5,2,3,1,Đất nền,10.761
Bà Rịa-VT,85.1,2,2,4,Nhà trọ,4.974
Bà Rịa-VT,74.2,3,3,4,Nhà phố,12.393
Cần Thơ,143.9,3,4,2,Biệt thự,34.79
Đồng Nai,126.5,3,4,2,Nhà trọ,7.701
Hải Phòng,164.4,4,4,3,Đất nền,15.666
Hà Nội,61.8,4,4,2,Nhà phố,17.433
Cần Thơ,110.4,4,4,3,Nhà trọ,6.826
Đồng Nai,65.0,1,1,1,Biệt thự,14.174
Bà Rịa-VT,47.7,3,3,1,Nhà trọ,3.094
Bà Rịa-VT,87.8,2,1,2,Nhà phố,13.191
Bình Dương,51.8,2,2,2,Nhà trọ,4.879
Cần Thơ,182.0,3,2,4,Đất nền,16.596
Hải Phòng,53.7,2,2,1,Chung cư,8.42
TP.HCM,112.0,1,1,3,Nhà phố,38.203
Hải Phòng,62.7,2,2,1,Nhà phố,10.499
Bà Rịa-VT,106.3,1,2,2,Nhà phố,12.722
Bà Rịa-VT,65.7,4,5,2,Nhà phố,13.614
Đà Nẵng,42.3,1,1,2,Nhà trọ,4.089
Bà Rịa-VT,120.3,2,1,1,Đất nền,12.531
Hà Nội,78.2,3,2,2,Biệt thự,48.928
Khánh Hòa,106.9,2,2,3,Đất nền,13.655
Cần Thơ,69.6,4,5,2,Nhà phố,13.71
Hải Phòng,40.6,1,1,2,Nhà trọ,3.235
Khánh Hòa,172.4,3,4,3,Nhà trọ,18.67
Đồng Nai,140.1,3,2,3,Nhà phố,27.459
TP.HCM,64.1,5,5,2,Nhà trọ,11.854
Hà Nội,93.9,3,4,1,Nhà phố,23.168
Hải Phòng,168.2,4,3,4,Đất nền,14.164
Khánh Hòa,68.4,1,1,2,Chung cư,11.234
TP.HCM,75.1,2,2,1,Nhà trọ,10.505
Đà Nẵng,104.2,2,2,1,Nhà phố,16.591
Hà Nội,68.3,4,5,3,Nhà phố,27.853
Hà Nội,150.5,2,3,1,Nhà trọ,17.625
Đà Nẵng,81.3,2,2,5,Biệt thự,23.104
Cần Thơ,56.2,2,3,1,Nhà phố,12.147
Đà Nẵng,129.7,1,1,3,Nhà trọ,8.618
Hà Nội,45.4,2,2,2,Nhà phố,20.878
Hà Nội,301.5,5,5,2,Biệt thự,112.478
Khánh Hòa,232.6,3,4,4,Chung cư,28.592
Bà Rịa-VT,122.5,3,3,2,Biệt thự,24.586
TP.HCM,116.5,3,2,2,Đất nền,23.307
Đà Nẵng,113.2,2,3,1,Nhà trọ,8.109
TP.HCM,67.1,2,3,1,Biệt thự,36.058
Đà Nẵng,107.6,2,2,1,Chung cư,15.707
Đồng Nai,51.7,2,2,3,Nhà phố,10.142
Hà Nội,121.8,3,3,1,Nhà trọ,13.366
Bà Rịa-VT,151.5,2,3,1,Biệt thự,21.561
Khánh Hòa,71.7,1,1,2,Chung cư,11.957
Bà Rịa-VT,63.0,3,2,3,Biệt thự,16.363
Bà Rịa-VT,43.5,4,4,3,Đất nền,8.679
Bà Rịa-VT,215.9,4,4,1,Nhà trọ,9.118
TP.HCM,66.1,4,5,1,Nhà phố,20.475
Đà Nẵng,79.9,4,4,4,Chung cư,16.791
Quảng Ninh,107.8,2,3,1,Biệt thự,27.446
Đồng Nai,106.6,4,4,4,Nhà trọ,6.483
Hải Phòng,140.9,2,1,4,Biệt thự,24.874
Bà Rịa-VT,71.7,3,2,3,Nhà trọ,6.167
Cần Thơ,45.5,3,4,1,Đất nền,7.878
TP.HCM,40.9,1,2,3,Biệt thự,15.549
Khánh Hòa,63.6,4,4,3,Đất nền,11.506
Hải Phòng,50.9,4,4,2,Chung cư,12.159
Quảng Ninh,75.0,2,1,2,Đất nền,6.704
